1870,1714,2000
1861,1705,1100
1852,1696,2000
1842,1687,1100
1833,1678,2000
1824,1669,1100
1814,1661,2000
1804,1652,1100
1795,1643,2000
1785,1634,1100
1775,1625,2000
1766,1616,1100
1756,1608,2000
1746,1599,1100
1736,1590,2000
1726,1582,1100
1716,1573,2000
1707,1565,1100
1697,1556,2000
1687,1547,1100
1677,1539,2000
1667,1531,1100
1657,1522,2000
1647,1514,1100
1637,1506,2000
1628,1498,1100
1618,1490,2000
1608,1482,1100
1598,1474,2000
1588,1466,1100
1579,1458,2000
1569,1450,1100
1559,1442,2000
1549,1435,1100
1540,1427,2000
1530,1420,1100
1520,1413,2000
1511,1405,1100
1501,1398,2000
1492,1391,1100
1482,1384,2000
1472,1378,1100
1463,1371,2000
1453,1364,1100
1444,1358,2000
1435,1351,1100
1425,1345,2000
1416,1339,1100
1406,1333,2000
1397,1327,1100
